Cellulose,Hemicellulose,Lignin,Size,Temp,Time,SL_ratio,HBA_HBD_ratio,MW,pKa,HBD_count,HBA_count,viscosity,biomass_enc,hbd_enc,LRY
34.8,21.8,19.0,0.2,90,12.0,0.05,0.1666666666666666,61.08,9.5,2.0,2.0,10.0,54.30382954545455,75.91,81.0
34.8,21.8,19.0,0.2,90,12.0,0.05,0.125,105.14,8.88,3.0,3.0,10.0,54.502012048192775,51.91873394948207,73.5
34.8,21.8,19.0,0.2,90,12.0,0.05,0.1,119.16,8.52,2.0,3.0,10.0,55.102467391304344,51.91873394948207,44.6
34.8,21.8,19.0,0.2,90,12.0,0.05,0.5,59.07,15.1,2.0,1.0,1.5,54.27090588235294,51.91873394948207,3.4
34.8,21.8,19.0,0.2,90,12.0,0.05,0.5,60.06,13.9,2.0,2.0,1.5,54.30382954545455,36.005810157790926,27.7
34.8,21.8,19.0,0.2,90,12.0,0.05,0.5,92.09,14.4,3.0,3.0,50.0,54.27090588235294,34.125959425190196,24.7
34.8,21.8,19.0,0.2,50,12.0,0.05,0.1666666666666666,61.08,9.5,2.0,2.0,10.0,54.48154761904762,74.4088888888889,60.8
34.8,21.8,19.0,0.2,70,12.0,0.05,0.1666666666666666,61.08,9.5,2.0,2.0,10.0,54.27090588235294,75.025,76.4
34.8,21.8,19.0,0.2,90,12.0,0.05,0.1666666666666666,61.08,9.5,2.0,2.0,10.0,54.30382954545455,75.91,81.0
34.8,21.8,19.0,0.2,110,12.0,0.05,0.1666666666666666,61.08,9.5,2.0,2.0,10.0,54.27090588235294,75.025,87.7
34.8,21.8,19.0,0.2,130,12.0,0.05,0.1666666666666666,61.08,9.5,2.0,2.0,10.0,54.48154761904762,74.4088888888889,97.6
34.8,21.8,19.0,0.2,70,1.0,0.05,0.1666666666666666,61.08,9.5,2.0,2.0,10.0,54.30382954545455,75.91,58.8
34.8,21.8,19.0,0.2,70,6.0,0.05,0.1666666666666666,61.08,9.5,2.0,2.0,10.0,55.102467391304344,75.928,68.8
34.8,21.8,19.0,0.2,70,9.0,0.05,0.1666666666666666,61.08,9.5,2.0,2.0,10.0,54.502012048192775,75.09777777777778,71.4
34.8,21.8,19.0,0.2,70,24.0,0.05,0.1666666666666666,61.08,9.5,2.0,2.0,10.0,54.502012048192775,75.09777777777778,80.8
38.1,27.3,22.4,0.83,120,6.0,0.1,0.5,90.08,3.86,2.0,3.0,10.0,54.48154761904762,51.86124521072797,85.4
